,,,,,,,,,,
Trade Date,Symbol,Warehouse,Production Year,Opening Price,Closing Price,High,Low,Change,Persetntage Change,Volume (Ton)
03/22/2012,WYCB3,DL,2004,"1,260.00",0.00,"1,260.00","1,250.00",0,0.0 ,124.75
03/23/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,37.81
08/30/2012,WYCB3,DL,2004,"1,180.00",0.00,"1,180.00","1,180.00",0,0.0 ,7.85
08/22/2012,WYCB3,DL,2004,"1,230.00",0.00,"1,230.00","1,230.00",0,0.0 ,8.99
08/24/2012,WYCB3,DL,2004,"1,200.00",0.00,"1,200.00","1,190.00",0,0.0 ,9.62
09/04/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,22.85
07/30/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,5.41
08/03/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,1.8
08/02/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,7.21
08/06/2012,WYCB3,DL,2004,"1,280.00",0.00,"1,280.00","1,280.00",0,0.0 ,5.41
07/23/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,9.49
07/17/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,290.00",0,0.0 ,23.39
07/16/2012,WYCB3,DL,2004,"1,300.00",0.00,"1,300.00","1,300.00",0,0.0 ,8.99
06/12/2012,WYCB3,DL,2004,"1,140.00",0.00,"1,140.00","1,135.00",0,0.0 ,39.59
06/07/2012,WYCB3,DL,2004,"1,150.00",0.00,"1,150.00","1,150.00",0,0.0 ,18
06/08/2012,WYCB3,DL,2004,"1,140.00",0.00,"1,140.00","1,140.00",0,0.0 ,39.59
06/14/2012,WYCB3,DL,2004,"1,160.00",0.00,"1,160.00","1,160.00",0,0.0 ,7.21
05/31/2012,WYCB3,DL,2004,"1,220.00",0.00,"1,225.00","1,220.00",0,0.0 ,32.56
06/01/2012,WYCB3,DL,2004,"1,205.00",0.00,"1,205.00","1,200.00",0,0.0 ,28.68
06/06/2012,WYCB3,DL,2004,"1,170.00",0.00,"1,175.00","1,170.00",0,0.0 ,50.41
06/26/2012,WYCB3,DL,2004,"1,236.00",0.00,"1,236.00","1,235.00",0,0.0 ,19.81
06/18/2012,WYCB3,DL,2004,"1,160.00",0.00,"1,160.00","1,160.00",0,0.0 ,14.4
06/19/2012,WYCB3,DL,2004,"1,160.00",0.00,"1,170.00","1,160.00",0,0.0 ,21.61
06/20/2012,WYCB3,DL,2004,"1,180.00",0.00,"1,180.00","1,180.00",0,0.0 ,21.61
